$>n	durumda
$>nhm	işleri için
$A'	dilerse
$AEr	şa'irdir
$Ahd	bir şahit
$Aklth	kendi karakteri
$Akr	karşılığını verir
$AkrA	şükreder
$An}k	sana buğzeden
$AqwA	karşı geldiler
$EA}r	nişanları
$Eb	dalı
$EwbA	milletlere
$Eyb	Şuayb
$EybA	Şuayb
$E}r	nişanlarına
$H	cimriliğinden
$HwmhmA	yağlarını
$TTA	saçma sapan
$T_h	filizini
$Tr	doğru
$Trh	o yöne
$T}	kıyısı-
$Y'	şey
$bh	benzer gösterildi
$dAd	şiddetli
$dAdA	sağlam
$dyd	çetin
$dydA	çetin
$fA	kenarına
$fA'	şifa
$fE&A	hiçbir şefa'atçi
$fE&nA	bizim şefaatçilerimizdir
$fEA'	şefa'atçiler
$fEA'km	şefaatçilerinizi
$fEp	şefaat
$fEthm	onların şefa'ati
$fEyn	şefa'atçilerimiz
$fyE	destekçileri
$gfhA	onun bağrını yakmış
$gl	bir meşguliyet
$gltnA	bizi alıkoydu
$hAb	bir alev
$hAbA	bir ışın
$hd	şahit olursa
$hdA	şahid
$hdA'	şahit
$hdA'km	şahitlerinizi
$hdnA	şahidiz
$hdp	şahitliği
$hdt	şahid tutup
$hdthm	şahidlikleri
$hdthmA	onların şahidliğinden
$hdtm	şahidlik ettiniz
$hdwA	şahidlik ederlerse
$hdwn	görüyorlarken
$hdyn	şahid
$hr	ayı
$hrA	aydır
$hryn	iki ay
$hwd	seyrediyorlardı
$hwdA	şahidiz
$hwp	şehvetle
$hyd	gören
$hydA	şahit
$hydyn	iki şahidi
$hyqA	homurtusunu
$jr	ağacı-
$jrhA	bir ağacını (bile)
$jrp	ağacını
$jrt	ağacı
$jrthA	onun ağacını
$k	kuşku
$klh	ona (azaba) benzer
$kr	şükreden
$krA	şükredin
$krtm	siz şükreder
$krwn	şükredenlerden
$kryn	şükredenlerden
$kwr	şükreden
$kwrA	teşekkür
$mA}lhm	sollarından
$msA	(yakıcı) güneş
$mxt	yüksek yüksek
$n_An	duyduğunuz kin
$qA	güzel bir yarışla
$qAq	anlaşmazlık
$qAqY	bana karşı gelmeniz
$qY	bedbahtttır
$qqnA	yardık
$qwA	bedbaht olan(lar)
$qwtnA	bahtsızlığımız
$qyA	bahtsız
$r	fena
$rA	şer
$rAb	bir içki
$rAbA	bir içki
$rAbh	içimi
$rE	şeri'at (hukuk düzeni) yaptı
$rEA	akın akın
$rEp	bir şeri'at
$rEwA	şeriat kılan
$rH	açan
$rb	içerse
$rh	şerri
$rk	ortaklıkları
$rk&A	ortakları
$rkA&hm	ortakları
$rkA&km	ortaklarınız
$rkA&nA	ortaklarımız
$rkA'	ortak
$rkA'Y	ortaklarım
$rkA'hm	ortak koştuklarını
$rkA'km	ortaklarınızı
$rkA}hm	ortakları-
$rkA}km	ortaklarınız-
$rqyA	doğu yönünde
$rqyp	doğudan
$rwA	sattıkları
$ryEp	bir şeriat
$ryk	ortağı
$tY	her çeşit
$wAZ	yalın alev
$wrY	danışma iledir
$xSp	donup kalır
$yE	milletlerin
$yEA	grup grup
$yEp	milletten
$yEth	onun kolundan idi
$yTn	şeytana
$yTnA	şeytana
$yTyn	şeytanlarını
$yTynhm	şeytanları
$y_A	hiç
$ybA	ihtiyar
$yp	hiçbir alacası
$ywxA	ihtiyarlar
$yx	bir ihtiyardır
$yxA	bir ihtiyar
$}nA	dileseydik
$}t	dilediğin
$}tm	dilediğiniz
$}tmA	dilediğiniz
'>$fqtm	korktunuz mu?
'>$kr	şükür mü edeceğim?
'>ld	ben doğuracak mıyım?
'>lhtnA	bizim tanrılarımız mı?
'>mntm	emin misiniz?
'>n*rthm	uyarsan (da)
'>qrrtm	bunu kabul ettiniz mi?
'>rbAb	tanrılar mı?
'>sjd	ben mi secde edeceğim?
'>slmtm	Siz de İslam (teslim) oldunuz mu?
'>tx*	edinir miyim?
'A%EjmY	yabancı söz mü?
'A*An	kulakları
'A*Anhm	kulakları
'A*AnnA	kulaklarımızda
'A*n	ben izin vermeden
'A*nk	sana arz ederiz ki
'A*ntkm	ben size açıkladım
'A*wA	eziyet eden
'A*ytmwnA	bize yaptığınız eziyetlere
'AbA&hm	babaları
'AbA&km	babalarınız
'AbA&nA	atalarımız
'AbA'	babaları
'AbA'Y	atalarım
'AbA'hm	babaları
'AbA'km	atalarınızı
'AbA'nA	atalarımızı
'AbA}hm	babaları-
'AbA}hn	babaları
'AbA}k	ataların
'AbA}km	atalarınızın
'AbA}nA	atalarımız
'Adm	Adem
'Al	soyu
'Al*kryn	iki erkeği mi?
'AlA'	ni'metinden
'Alf	bin
'Alhp	tanrı
'AlhtY	benim tanrılarım-
'Alhthm	onların ilahları
'Alhtkm	tanrılarınıza
'AlhtnA	ilahlarımızı
'Allh	Allah mı?
'Amn	inanan
'AmnA	inandık
'Amnkm	size güveneyim
'Amnp	güven
'Amnt	iman
'Amntm	inanmış
'AmnwA	inanan
'Amnwn	güven içindedirler
'Amnyn	güven
'Amrh	emrettiğim
'Amyn	gelenlere
'An	kızgın
'AnA'	saatlerinde
'AnA}	sa'atlerinden
'AnfA	az önce
'Ans	gördü
'Anst	gördüm
'Anstm	görürseniz
'Anyp	kaynamış
'AsY	acırım
'AsfwnA	onlar bizi kızdırınca
'Asn	bozulma
'AtY	gelecektir
'AtYh	kendisine verdi
'AtYhA	verdiğinden
'AtYhm	verdiği
'AtYhmA	kendilerine verdiği
'AtYk	sana verdiği
'AtYkm	size verdi
'AtYn	bana vermiştir
'AtYnA	bize verirse
'AtYnY	bana verdi
'Athm	onlara ver
'AtnA	bize ver
'Att	vermişti
'AtwA	verdikleri
'Atwh	verdiler
'AtwnY	bana getirin
'Atyh	O'na gelecektir
'Atyhm	gelmektedir
'Atyk	sana getiririm
'Atykm	size getiririm
'AtynA	verdik
'Atynh	verdik
'AtynhA	verdiğimiz
'Atynhm	verdiğimiz
'Atynk	sana verdik
'Atynkm	size verdiğim
'Atyp	gelecektir
'Atyt	verdin
'Atythn	senin verdiklerine
'Atytk	sana verdiğim
'Atytkm	size verdim
'Atytm	verdiniz
'Atytmwhn	verdiğiniz
'AtytnA	bize verirsen
'AtytnY	bana verdin
'AvArhmA	izleri
'Avm	günahkardır
'AvmA	günahkara
'Avr	eserlerine
'Avrhm	peşlerinde
'Avrk	seni üstün kıldı
'AwY	aldı
'AwwA	barındırdılar
'Ax*	tutmadığı
'Ax*yn	alırlar
'Axr	başka
'AxrAn	diğer iki kişi (şahidlik etsin)
'Axrh	sonunda
'Axrwn	başka
'Axryn	başka
'AyAtnA	ayetlerimiz
'Ayp	ayet
'Ayt	ayetler
'AytY	ayetlerim
'Ayth	ayetleri
'AythA	ayetleri-
'Aytk	ayetlerine
'AytnA	ayetlerimiz
'Aytyn	iki ayet
'Azr	Azer'e
*Ahb	gideceğim
*AqA	tadınca
*AqwA	tadmışlardı
*A}qp	tadacaktır
*bAbA	bir sinek dahi
*bH	boğazlanan
*hAb	gidermeğe de
*hb	gitti
*hbA	altın
*hbnA	gittik
*hbt	gidenlere
*hbwA	götürdüler
*kr	erkek
*krA	öğüt
*krAnA	erkekler
*krY	bir öğüttür
*krYhA	onun söyleyesin
*krYhm	öğüt almaları
*krh	onu düşünür öğüt alır
*krhm	Zikirleri-
*krk	şanını
*krkm	Zikr'iniz bulunan
*krnA	bizi anmak-
*krt	andığın
*krtm	size öğüt verildiği-
*krwA	öğütlenen
*kytm	sizin kestikleriniz
*llA	boyun eğerek
*lp	alçaklık
*lwl	boyundurluk altında
*lwlA	boynu eğik
*mp	bir andlaşma
*nb	bir suç
*nbh	günahı-
*nbk	günahların-
*nwb	payı
*nwbA	bir (azab) payı
*nwbhm	günahları-
*nwbkm	günahlarınızı
*nwbnA	günahlarımızı
*q	tad
*r>	yarattığı
*r>km	sizi üreten
*r>nA	yarattık
*rAEA	arşın
*rAEyh	ön ayaklarını
*rEA	huzursuzca
*rEhA	uzunluğu
*rhm	bırak onları
*rnA	bizi bırak
*rnY	beni yalnız bırak
*rp	zerre
*rwA	savurup
*rwnA	bizi bırakın
*rwnY	bırakın beni
*ryp	soyu-
*rytY	zürriyetim
*ryth	onun nesli
*rythm	zürriyetlerini
*rythmA	onların neslinden
*rytnA	neslimizden de
*wqwA	tadın
<*nh	O'nun izni
<ESAr	birden bir kasırga
<ErADA	yüz çevirmesinden
<ErADhm	onların yüz çevirmesi
<HdY	birini
<HdYhmA	biri
<HdYhn	onlardan birine
<HsAnA	iyilik edeceksiniz
<HsnA	iyilik edin
<SlAH	ıslah etmek
